Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sharma, Gajanand; Gupta, Amit; Goyal, Dinesh; ",Analysis & Design of Visual Cryptography Using Moving Image,International Journal of Information and Communication Technology Research,3,No.12,290-295,2013,jict
"Sharma, Gajanand; Jha, Manish Kumar; Sharma, Ravi Shankar; ",Performance Evaluation of Quality of Service in Proposed Routing Protocol,Global Journal of Computer Science and Technology,14,5,,2014,
"Sharma, Gajanand; Gupta, Nikhil; Sharma, Ravi Shanker; ",A Comparative Study of ANFIS Membership Function to Predict ERP User Satisfaction using ANN and MLRA,International Journal of Computer Applications,105,5,11-15,2014,Foundation of Computer Science
"Sharma, GAJANAND; Yadav, SUNIL; ",Improvisation Of Data Mining Techniques In Cancer Site Among Various Patients Using Market Basket Analysis Algorithm,"BEST: International Journal of Management, Information Technology and Engineering (BEST: IJMITE)",3,"Issue 10, Oct 2015",137-144,2015,BEST Journals
"Sharma, Gajanand; Kumari, Rinki; Pandey, Akhilesh; ",An Intellectual System For Human Personality Identification Using Soft Computing,International Journal of Advanced Technology  in Engineering and Science (ISSN: 2348-7550),3,"Issue no 10, Oct. 2015",41-46,2015,ijates
"Sharma, Gajanand; Poonia, Manish; ",Danger Theory Based Model to Prevent Sleep Deprivation Attacks in MANET’s,International Journal of Emerging Research in Management &Technology ISSN: 2278-9359,4,Issue-12,61-64,2015,IJERMT
"Sharma, Gajanand; Sharma, Ashutosh; Goyal, Dinesh; ",Improve Security For Mobile Adhoc Networks  Using Genetic Zonal Routing Protocol,International Journal of Innovative Science and Research Technology  ISSN No: - 2456- 2165,1,Issue 9,1-6,2016,IJISRT16DC02
"Sharma, Gajanand; Singh, Sumit; Sharma, Gaurav Kumar; ",ADVANCED STUDY OF FUTURE GENERATION ANTENNA FOR WIRE-FREE APPLICATIONS,INTERNATIONAL EDUCATIONAL SCIENTIFIC RESEARCH JOURNAL.E-ISSN NO : 2455-295X,2,11,9-11,2016,IESRJ
"Sharma, Gajanand; Goyal, Dinesh; ",Performance Improvement for Fast Video Streaming in Peer-to-Peer Network,Asian Journal of Computer Science and Technology ISSN: 2249-0701,6,02,43-49,2017,"© The Research Publication, www.trp.org.in"
"Sharma, Gajanand; Goyal, Dinesh; ",A CHRONOLOGICAL REVIEW OF THE VIDEO STREAMING OVER P2P NETWORKS,"International Journal of Computational Research and Development (IJCRD), ISSN (Online): 2456 - 3137",2,02,15-18,2017,(www.dvpublication.com)
"Sharma, Gajanand; Singh, Richa; ",Development of new framework for secure live video streaming over p2p network using randomize algorithm,Suresh Gyan Vihar University Journal of Engineering & Technology,3,1,8-12,2017,
"Sharma, Gajanand; Mishra, Pooja; ",Design & Development Of Low Bit Rate Efficient secure Video Transmission Using Zigbee,"Suresh Gyan Vihar University, Jaipur  International Journal of Converging Technologies and Management (IJCTM)",3,1,-,2017,
